,Stock,Returns,Volatility,Cluster
0,JNJ,0.13982219151603592,0.1516369707232496,0
1,AMGN,-0.0683880740311064,0.2060906180412332,0
2,PG,-0.005743414411594825,0.1499187249654413,0
3,MRK,0.10476899228191637,0.19884203739274348,0
4,MMM,0.0849129420975942,0.19367473315627098,0
5,WMT,0.03998947727882799,0.16210928527798568,0
6,MCD,0.05626760919238416,0.15826414185894264,0
7,KO,0.09891200090003781,0.16645659569386426,0
8,VZ,-0.05948629315054514,0.14126067881842694,0
9,CRM,0.18049182613765447,0.2848804712525856,1
10,DIS,0.33708031194364774,0.311551169624107,1
11,DOW,0.23503150194036007,0.32058392346185804,1
12,WBA,0.32518684855496194,0.3349563203462296,1
13,CAT,0.21902097417862815,0.2782011661490825,1
14,BA,0.33787407738376973,0.39590153496806507,1
15,INTC,-0.01834675036257738,0.34326558681153396,1
16,IBM,0.13583872829542504,0.2453411552884787,2
17,HON,0.25263646247419275,0.22114383225804476,2
18,HD,0.27082331410944294,0.19913312879274755,2
19,CSCO,0.3619724881448651,0.19553662172807318,2
20,MSFT,0.3862132290912481,0.2160148563433199,2
21,NKE,0.26927641367816624,0.2745115605366251,2
22,TRV,0.2858461589675828,0.2248398602723058,2
23,UNH,0.3533328697473977,0.2214884264969143,2
24,AAPL,0.2750695340323748,0.26551135574232,2
25,V,0.17851012488334206,0.22892724518165075,2
26,AXP,0.6681245090672538,0.3483658598615003,3
27,CVX,0.5126241643422463,0.31643769530615845,3
28,GS,0.7471147741030043,0.2663737941398576,3
29,JPM,0.5813166407259587,0.2701546256312129,3
