,Stock,Returns,Volatility,Cluster
0,AXP,0.6654335215301878,0.6897021741249598,0
1,NKE,0.7022910803564041,0.4922627795967022,0
2,UNH,0.7567852212784001,0.5173774140014967,0
3,GS,0.8490936608912923,0.5760330288741197,0
4,CRM,0.8556992458853054,0.5810797791680603,0
5,MSFT,0.9116072100280083,0.47890209282316926,0
6,AAPL,1.0385425987974797,0.5241340697084255,0
7,WMT,0.2867674261398363,0.3518977974539862,1
8,MRK,0.1098299278242647,0.3717406380979727,1
9,IBM,0.05617683330585292,0.46826889212929085,1
10,PG,0.19926346983226637,0.3560275556126803,1
11,JNJ,0.31914328418398485,0.3355200430547468,1
12,KO,0.06728672323456653,0.37368156430901267,1
13,AMGN,0.12378678617964478,0.43010074689559774,1
14,MCD,0.28225561386610076,0.42880706679338476,1
15,MMM,0.20976575824235782,0.4236098847881488,1
16,VZ,-0.09336873559100273,0.28210521918518006,1
17,V,0.38751097554816183,0.47227470154749396,2
18,TRV,0.34334755541324263,0.5231764627927966,2
19,JPM,0.485160060202224,0.5823359966562371,2
20,HON,0.367922085972922,0.48928512922801387,2
21,HD,0.5788509342962888,0.4782876205105376,2
22,CSCO,0.29823352136409886,0.46000811895793636,2
23,CAT,0.5382824546616602,0.5132892602410986,2
24,DIS,0.420514295107722,0.5480094125296162,2
25,BA,-0.06594480486026219,0.9357269320644076,3
26,INTC,0.11558538471512977,0.6210788390762294,4
27,CVX,0.18820902230619702,0.6592544327644768,4
28,WBA,0.0369657905099334,0.5612540142106492,4
29,DOW,0.4138015352611162,0.6862040823055832,4
