Company,Movement,Cluster
Apple Inc,11.60502625,1
Amgen Inc,40.58021545,0
American Express Co,34.73226929,2
Boeing Co,-327.4505844,1
Caterpillar Inc,28.95022583,1
Salesforce.Com Inc,17.21936798,0
Cisco Systems Inc,-27.43495941,1
Chevron Corp,76.80615234,1
Walt Disney Co,109.9494934,2
Dow Inc,17.3748703,1
Goldman Sachs Group Inc,-8.575004578,0
Home Depot Inc,6.669952393,2
Honeywell International Inc,3.169433594,0
International Business Machines Corp,-18.95500946,0
Intel Corp,8.909851074,1
Johnson & Johnson,2.630233765,2
JPMorgan Chase & Co,-32.28765869,0
Coca-Cola Co,95.26000977,2
McDonald’s Corp,-1.799930573,2
Merck & Co Inc,35.87495422,0
Microsoft Corp,22.43997192,1
Nike Inc,122.0701447,0
Procter & Gamble Co,0.590034485,2
Travelers Companies Inc,0.784919739,0
UnitedHealth Group Inc,-28.96006775,2
Visa Inc,-9.669639587,0
Verizon Communications Inc,13.85002136,0
Walgreens Boots Alliance Inc,-46.97019958,1
Walmart Inc,-13.10327148,1
