,Stock,Returns,Volatility,Cluster
0,JNJ,0.13982219151603603,0.1516369707232496,0
1,AMGN,-0.06838807403110662,0.20609061804123321,0
2,PG,-0.00574341441159582,0.14991872496544148,0
3,MRK,0.10476899228191637,0.19884203739274348,0
4,MMM,0.08491294209759442,0.19367473315627098,0
5,WMT,0.03998947727882799,0.1621092852779857,0
6,MCD,0.05626760919238416,0.15826414185894253,0
7,KO,0.09891200090003859,0.1664565956938643,0
8,VZ,-0.05948629315054481,0.1412606788184269,0
9,CRM,0.18049182613765388,0.28488047125258564,1
10,DIS,0.3370803119436475,0.3115511696241069,1
11,DOW,0.23503150194035952,0.3205839234618582,1
12,WBA,0.32518684855496194,0.33495632034622935,1
13,CAT,0.21902097417862867,0.27820116614908247,1
14,BA,0.3378740773837702,0.39590153496806524,1
15,INTC,-0.018346750362577602,0.3432655868115339,1
16,IBM,0.13583872829542493,0.24534115528847877,2
17,HON,0.2526364624741932,0.2211438322580448,2
18,HD,0.2708233141094425,0.19913312879274755,2
19,CSCO,0.36197248814486405,0.19553662172807312,2
20,MSFT,0.3862132290912483,0.21601485634332,2
21,NKE,0.2692764136781652,0.27451156053662507,2
22,TRV,0.2858461589675827,0.22483986027230576,2
23,UNH,0.3533328697473966,0.2214884264969142,2
24,AAPL,0.2750695340323748,0.2655113557423202,2
25,V,0.17851012488334161,0.22892724518165072,2
26,AXP,0.6681245090672541,0.3483658598615003,3
27,CVX,0.5126241643422468,0.31643769530615845,3
28,GS,0.7471147741030044,0.2663737941398577,3
29,JPM,0.5813166407259585,0.2701546256312129,3
