Company,Symbol,Movement,Cluster
Apple Inc,AAPL,19.789934158325195,1
Adobe Inc.,ADBE,74.32015991210938,1
Analog Devices Inc,ADI,43.38017272949219,1
Automatic Data Processing Inc,ADP,-315.31982421875,1
Autodesk Inc,ADSK,36.46022033691406,2
American Electric Power Company Inc,AEP,-4.658203125,2
Align Technology Inc,ALGN,6.5650787353515625,3
Applied Materials Inc,AMAT,138.86477661132812,1
Advanced Micro Devices Inc,AMD,34.64727783203125,4
Amgen Inc,AMGN,-13.16998291015625,3
Amazon.com Inc,AMZN,157.40968322753906,3
ANSYS Inc,ANSS,234.06790924072266,1
ASML Holding NV,ASML,81.25018310546875,1
Activision Blizzard Inc,ATVI,-29.16995620727539,4
Broadcom Inc,AVGO,72.37002563476562,2
Baidu Inc,BIDU,60.500579833984375,3
Biogen Inc,BIIB,5.620063781738281,1
Booking Holdings Inc,BKNG,79.66987609863281,4
Biomarin Pharmaceutical Inc,BMRN,7.520042419433594,4
Cadence Design Systems Inc,CDNS,-581.58935546875,0
CDW Corp,CDW,60.18994903564453,1
Cerner Corp,CERN,72.66983795166016,0
Check Point Software Technologies Ltd,CHKP,1.6900138854980469,2
Charter Communications Inc,CHTR,-1.0799713134765625,4
Comcast Corp,CMCSA,252.1693115234375,2
Costco Wholesale Corp,COST,50.0401496887207,0
Copart Inc,CPRT,20.01689910888672,1
CrowdStrike Holdings Inc,CRWD,111.18991088867188,0
Cisco Systems Inc,CSCO,16.9649658203125,2
CSX Corp,CSX,11.067535400390625,2
Cintas Corp,CTAS,112.98507690429688,4
Cognizant Technology Solutions Corp,CTSH,3.116647720336914,0
Dollar Tree Inc,DLTR,13.335041046142578,0
DocuSign Inc,DOCU,34.863868713378906,1
Dexcom Inc,DXCM,254.0250244140625,1
Electronic Arts,EA,-11.0,2
eBay Inc,EBAY,15.319999694824219,4
Exelon Corp,EXC,33.24501991271973,4
Fastenal Co,FAST,9.511371612548828,2
Facebook,FB,17.170000076293945,2
Fiserv Inc,FISV,73.93009948730469,1
Fox Corp. Class B,FOX,-36.78759765625,0
Fox Corp. Class A,FOXA,-1.0559730529785156,0
Gilead Sciences Inc,GILD,-4.621026992797852,0
Alphabet Class C,GOOG,-22.99991226196289,2
Alphabet Class A,GOOGL,1301.9375,4
Honeywell International Inc,HON,971.6148681640625,4
IDEXX Laboratories Inc,IDXX,15.219871520996094,0
Illumina Inc,ILMN,98.66032409667969,4
Incyte Corp,INCY,-12.38995361328125,4
Intel Corp,INTC,6.124950408935547,0
Intuit Inc,INTU,131.01429748535156,4
Intuitive Surgical Inc,ISRG,47.319793701171875,4
JD.Com Inc,JD,3.3199901580810547,3
Keurig Dr Pepper Inc,KDP,195.70993041992188,4
Kraft Heinz Co,KHC,-1.5570049285888672,1
KLA Corp,KLAC,2.040040969848633,2
Lam Research Corp,LRCX,32.149932861328125,3
Lululemon Athletica Inc,LULU,8.94697380065918,2
Marriott International Inc,MAR,0.030181884765625,3
Microchip Technology Inc,MCHP,35.785064697265625,1
Mondelez International Inc,MDLZ,-784.2308959960938,1
Mercadolibre Inc,MELI,-11.689960479736328,0
Monster Beverage Corp,MNST,34.04109573364258,1
Moderna Inc,MRNA,-19.389968872070312,3
Marvell Technology Inc,MRVL,4.450065612792969,2
Microsoft Corp,MSFT,281.57300567626953,4
Match Group Inc,MTCH,-4.840003967285156,4
Micron Technology Inc,MU,104.04000854492188,4
Netflix Inc,NFLX,-33.384944915771484,3
NetEase Inc,NTES,271.6000671386719,1
NVIDIA Corp,NVDA,52.557960510253906,1
NXP Semiconductors NV,NXPI,62.102684020996094,1
Okta Inc,OKTA,-57.449974060058594,3
O’Reilly Automotive Inc,ORLY,49.94599151611328,1
Paychex Inc,PAYX,148.90054321289062,2
Paccar Inc,PCAR,31.114971160888672,2
Pinduoduo Inc,PDD,-5.089977264404297,0
PepsiCo Inc.,PEP,-78.94013214111328,1
Peloton Interactive Inc,PTON,61.60290718078613,1
PayPal Holdings Inc,PYPL,-45.047203063964844,1
Qualcomm Inc,QCOM,10.280120849609375,2
Regeneron Pharmaceuticals Inc,REGN,-50.59518051147461,3
Ross Stores Inc,ROST,-146.44976806640625,4
Starbucks Corp,SBUX,-22.85995101928711,0
Seagen Inc,SGEN,-1.9950075149536133,0
Sirius XM Holdings Inc,SIRI,36.110023498535156,4
Synopsys Inc,SNPS,-16.120223999023438,1
Splunk Inc,SPLK,-39.050140380859375,3
Skyworks Solutions Inc,SWKS,3.504932403564453,0
Trip.com Group Ltd,TCOM,69.22258758544922,1
Atlassian Corporation PLC,TEAM,-14.365009307861328,0
T-Mobile US Inc,TMUS,312.60132217407227,1
Tesla Inc,TSLA,37.34013366699219,3
Texas Instruments Inc,TXN,-5.560111999511719,4
Verisk Analytics Inc,VRSK,26.620040893554688,4
Verisign Inc,VRSN,57.019989013671875,2
Vertex Pharmaceuticals Inc,VRTX,-82.87994384765625,4
Walgreens Boots Alliance Inc,WBA,-11.0400390625,2
Workday Inc,WDAY,30.785011291503906,1
Xcel Energy Inc,XEL,6.140033721923828,2
Xilinx Inc,XLNX,22.21527099609375,3
Zoom Video Communications Inc,ZM,6.3268280029296875,1
