Company,Symbol,Movement,Cluster
MMM,3M,-33.929962158203125,4
AOS,A. O. Smith,15.990104675292969,1
ADM,ADM,0.0599517822265625,1
AES,AES Corp,153.18980407714844,2
APA,APA Corporation,88.74020385742188,1
T,AT&T,-29.059955596923828,2
ABBV,AbbVie,73.06021118164062,2
ABT,Abbott Laboratories,20.155031204223633,2
ABMD,Abiomed,-26.159912109375,4
ACN,Accenture,2.930008888244629,4
ATVI,Activision Blizzard,-10.709978103637695,0
ADBE,Adobe,7.7498626708984375,1
AAP,Advance Auto Parts,-10.629867553710938,1
AMD,Advanced Micro Devices,-4.9799957275390625,1
AFL,Aflac,-57.860069274902344,0
A,Agilent Technologies,93.98987197875977,0
APD,Air Products & Chemicals,31.649917602539062,3
AKAM,Akamai Technologies,41.63517761230469,2
ALK,Alaska Air Group,6.5301055908203125,4
ALB,Albemarle Corporation,-5.299991607666016,3
ARE,Alexandria Real Estate Equities,6.609992980957031,4
ALGN,Align Technology,983.7750244140625,2
ALLE,Allegion,1314.94189453125,2
LNT,Alliant Energy,4.739973068237305,4
ALL,Allstate Corp,-319.104736328125,2
GOOGL,Alphabet (Class A),2.525007724761963,4
GOOG,Alphabet (Class C),16.08993911743164,3
MO,Altria Group,-34.9650239944458,0
AMZN,Amazon,-4.46820068359375,3
AMCR,Amcor,10.515029907226562,0
AEE,Ameren Corp,-12.145082473754883,0
AAL,American Airlines Group,29.330047607421875,3
AEP,American Electric Power,17.109970092773438,3
AXP,American Express,61.52495574951172,0
AIG,American International Group,16.579994201660156,1
AMT,American Tower,-1.6899299621582031,4
AWK,American Water Works,36.570220947265625,1
AMP,Ameriprise Financial,6.680019378662109,4
ABC,AmerisourceBergen,6.2400665283203125,2
AME,Ametek,139.75338745117188,2
AMGN,Amgen,107.57963562011719,4
APH,Amphenol,49.80986022949219,1
ADI,Analog Devices,-3.930011749267578,4
ANSS,Ansys,-13.780011653900146,0
ANTM,Anthem,34.68727111816406,2
AON,Aon,-13.399978637695312,2
AAPL,Apple,-3.7751388549804688,0
AMAT,Applied Materials,3.9649391174316406,4
APTV,Aptiv,145.84286499023438,2
ANET,Arista Networks,53.10985565185547,1
AJG,Arthur J. Gallagher & Co.,0.17003631591796875,4
AIZ,Assurant,-7.786296844482422,4
ATO,Atmos Energy,-32.401817321777344,3
AZO,AutoZone,80.8302001953125,2
ADSK,Autodesk,72.530029296875,1
ADP,Automatic Data Processing,145.6800537109375,1
AVB,AvalonBay Communities,-3.6099929809570312,3
AVY,Avery Dennison,33.07969665527344,4
BK,BNY Mellon,0.7450027465820312,0
BKR,Baker Hughes,0.7000999450683594,1
BLL,Ball Corp,6.675025939941406,0
BAC,Bank of America,12.284647941589355,0
BBWI,"Bath & Body Works, Inc.",4.010032653808594,3
BAX,Baxter International,1.6298980712890625,3
BDX,Becton Dickinson,-1.1500473022460938,4
