Stock,Returns,Volatility,Cluster
IFF,0.321701734,0.303329721,0
ICE,0.287120286,0.179890884,0
IP,0.228837586,0.257618645,0
INTU,0.597667308,0.266623435,0
ISRG,0.374165309,0.275533769,0
IQV,0.432645496,0.222911564,0
J,0.369996952,0.259919245,0
JBHT,0.481740869,0.263516802,0
JCI,0.554106684,0.226782478,0
JPM,0.574382548,0.269956713,0
JNPR,0.293875552,0.251163296,0
KEYS,0.535849077,0.228764304,0
KMI,0.368651097,0.285779376,0
KR,0.218076306,0.285087088,0
LHX,0.381467584,0.211297757,0
LH,0.343709905,0.222225749,0
LDOS,0.217043671,0.265329043,0
LIN,0.327799413,0.215282958,0
L,0.515309475,0.276615723,0
LOW,0.308658986,0.276789854,0
MMC,0.418402327,0.17709731,0
MLM,0.442608117,0.297807186,0
MCK,0.333769329,0.24214691,0
MTD,0.361606379,0.251908843,0
MSFT,0.382959906,0.216140439,0
MAA,0.553943195,0.195986198,0
TAP,0.300404067,0.330212216,0
MCO,0.325733651,0.206640601,0
MSI,0.398280287,0.208003719,0
NDAQ,0.430953569,0.205145818,0
IR,0.414597885,0.293469041,0
NWL,0.30609774,0.311512834,0
INFO,0.445313907,0.230899175,0
HII,0.375318523,0.251275709,0
DVA,0.284847971,0.262627934,0
DE,0.410203317,0.290793411,0
XRAY,0.295732735,0.328147623,0
DPZ,0.215936191,0.257027847,0
DOV,0.419435943,0.207819225,0
DOW,0.252007645,0.320213856,0
DRE,0.383374514,0.196624252,0
DD,0.252616197,0.288189189,0
EMN,0.273580362,0.292675943,0
ETN,0.432874046,0.228782165,0
EW,0.35886538,0.251316079,0
EMR,0.363041312,0.256087884,0
EQR,0.56213251,0.286435563,0
ESS,0.548326307,0.272690705,0
EL,0.368829333,0.261708403,0
RE,0.33870091,0.274435641,0
EXPD,0.285181222,0.20142698,0
EXR,0.502300151,0.228308969,0
FFIV,0.536172984,0.282975976,0
FB,0.194908757,0.314194858,0
FAST,0.268539154,0.211708505,0
FRC,0.558890308,0.267163153,0
GRMN,0.530841234,0.208153882,0
