Stock,Company,Returns1,Volatility,Cluster,Returns
A,Agilent Technologies,1.112399902,29.41355214,3,1.112399902
AAL,American Airlines Group,-0.352091112,6.002482403,2,1
AAP,Advance Auto Parts,0.383909894,30.90943878,0,0.383909894
AAPL,Apple,1.445028299,28.89719839,3,1.445028299
ABBV,AbbVie,0.415460848,12.39472832,1,0.415460848
ABC,AmerisourceBergen,0.431721314,12.85539805,1,0.431721314
ABMD,Abiomed,0.971715789,65.09058239,4,0.971715789
ABT,Abbott Laboratories,0.554449364,15.16030671,1,0.554449364
ACN,Accenture,0.929405419,49.64935417,4,0.929405419
ADBE,Adobe,1.397293135,102.3218926,5,1.397293135
ADI,Analog Devices,0.717147803,24.51183333,3,0.717147803
ADM,ADM,0.644178522,9.55181609,1,0.644178522
ADP,Automatic Data Processing,0.339424238,24.68765091,0,0.339424238
ADSK,Autodesk,1.153676805,51.79138106,4,1.153676805
AEE,Ameren Corp,0.096141499,5.125389404,2,0.096141499
AEP,American Electric Power,-0.111888831,6.09034493,2,1
AES,AES Corp,0.489632803,4.839199061,1,0.489632803
AFL,Aflac,0.084855384,8.243068519,2,0.084855384
AIG,American International Group,0.126937617,10.59136783,2,0.126937617
AIZ,Assurant,0.303893587,20.65907226,0,0.303893587
AJG,Arthur J. Gallagher & Co.,0.808189943,22.05485052,3,0.808189943
AKAM,Akamai Technologies,0.205012251,9.56845366,2,0.205012251
ALB,Albemarle Corporation,2.453347981,55.01873624,5,2.453347981
ALGN,Align Technology,1.367358877,172.8332798,5,1.367358877
ALK,Alaska Air Group,-0.214950584,14.05124925,2,1
ALL,Allstate Corp,0.188850908,15.30210244,2,0.188850908
ALLE,Allegion,0.152824165,15.68856658,2,0.152824165
AMAT,Applied Materials,1.481024253,34.36223027,3,1.481024253
AMCR,Amcor,0.278247012,1.160417802,2,0.278247012
AMD,Advanced Micro Devices,2.878783302,21.9179189,5,2.878783302
AME,Ametek,0.470489217,19.57625718,1,0.470489217
AMGN,Amgen,0.024229283,14.59686721,2,0.024229283
AMP,Ameriprise Financial,1.004243663,51.86582101,4,1.004243663
AMT,American Tower,0.275294172,23.2212403,0,0.275294172
AMZN,Amazon,0.871446756,607.8948118,7,0.871446756
ANET,Arista Networks,0.622304814,64.47174815,4,0.622304814
ANSS,Ansys,0.697815091,47.06736574,4,0.697815091
ANTM,Anthem,0.676056996,50.2796571,4,0.676056996
AON,Aon,0.671474932,33.1661808,3,0.671474932
AOS,A. O. Smith,0.316575085,10.46225749,1,0.316575085
APA,APA Corporation,0.214842917,6.071805722,2,0.214842917
APD,Air Products & Chemicals,0.392561515,29.27770767,0,0.392561515
APH,Amphenol,0.560271204,10.6893238,1,0.560271204
APTV,Aptiv,0.909851784,34.75776409,3,0.909851784
ARE,Alexandria Real Estate Equities,0.311698916,16.7645363,1,0.311698916
ATO,Atmos Energy,-0.167959758,7.403075612,2,1
ATVI,Activision Blizzard,0.460858584,13.62956667,1,0.460858584
AVB,AvalonBay Communities,0.057346483,29.38293913,0,0.057346483
AVGO,Broadcom,0.85590311,85.17145814,5,0.85590311
AVY,Avery Dennison,0.722424726,40.82546816,4,0.722424726
AWK,American Water Works,0.437086156,18.71057062,1,0.437086156
AXP,American Express,0.566446185,28.31711585,0,0.566446185
AZO,AutoZone,0.626808629,212.2890676,8,0.626808629
BA,Boeing,-0.383444459,63.62204602,0,1
BAC,Bank of America,0.515784404,7.177336281,1,0.515784404
BAX,Baxter International,0.030601898,4.409869979,2,0.030601898
BBWI,"Bath & Body Works, Inc.",3.991725185,19.44579583,5,3.991725185
BBY,Best Buy,0.668607761,17.7977995,1,0.668607761
BDX,Becton Dickinson,0.005449417,13.40271124,2,0.005449417
BEN,Franklin Resources,0.106254436,5.010910838,2,0.106254436
BIIB,Biogen,-0.053451377,31.75791778,0,1
BIO,Bio-Rad Laboratories,1.249332095,129.3391085,5,1.249332095
BK,BNY Mellon,0.282087309,6.96053992,1,0.282087309
BKNG,Booking Holdings,0.18280366,319.1796933,8,0.18280366
BKR,Baker Hughes,0.115763592,4.30570282,2,0.115763592
BLK,BlackRock,1.045484521,157.7179398,5,1.045484521
BLL,Ball Corp,0.230571025,10.73841215,2,0.230571025
BMY,Bristol Myers Squibb,0.065477312,3.729094267,2,0.065477312
BR,Broadridge Financial Solutions,0.474194572,21.22831405,1,0.474194572
BRO,Brown & Brown,0.814875145,6.632359428,1,0.814875145
BSX,Boston Scientific,0.102491334,3.932297814,2,0.102491334
BWA,BorgWarner,0.154452921,7.142093359,2,0.154452921
BXP,Boston Properties,-0.112487666,19.28170474,2,1
C,Citigroup,-0.019986164,12.60919513,2,1
CAG,Conagra Brands,0.219822738,3.072021167,2,0.219822738
CAH,Cardinal Health,-0.013785421,4.04089737,2,1
CARR,Carrier Global,0,12.20895278,2,0
CAT,Caterpillar,0.512738039,40.94553613,0,0.512738039
CB,Chubb,0.241662291,22.7996388,0,0.241662291
CBOE,Cboe Global Markets,0.134456444,14.0346068,2,0.134456444
CBRE,CBRE,0.99237366,19.06777215,3,0.99237366
CCI,Crown Castle,0.257427098,18.15556929,1,0.257427098
CCL,Carnival Corporation,-0.501510281,10.75289803,2,1
