Symbol,Returns1,Volatility,Cluster,Returns
MMM,0.126258586,18.19466957,2,0.126258586
ABT,0.554449364,15.16030671,1,0.554449364
ABBV,0.415460848,12.39472832,1,0.415460848
ABMD,0.971715789,65.09058239,4,0.971715789
ACN,0.929405419,49.64935417,4,0.929405419
ATVI,0.460858584,13.62956667,1,0.460858584
AAP,0.383909894,30.90943878,0,0.383909894
AES,0.489632803,4.839199061,1,0.489632803
AFL,0.084855384,8.243068519,2,0.084855384
A,1.112399902,29.41355214,3,1.112399902
APD,0.392561515,29.27770767,0,0.392561515
AKAM,0.205012251,9.56845366,2,0.205012251
ALK,-0.214950584,14.05124925,2,0.1
ARE,0.311698916,16.7645363,1,0.311698916
ALLE,0.152824165,15.68856658,2,0.152824165
LNT,0.059075699,4.037984229,2,0.059075699
ALL,0.188850908,15.30210244,2,0.188850908
MO,0.025127775,4.56853785,2,0.025127775
AMCR,0.278247012,1.160417802,2,0.278247012
AEE,0.096141499,5.125389404,2,0.096141499
AAL,-0.352091112,6.002482403,2,0.1
AEP,-0.111888831,6.09034493,2,0.1
AXP,0.566446185,28.31711585,0,0.566446185
AIG,0.126937617,10.59136783,2,0.126937617
AMT,0.275294172,23.2212403,0,0.275294172
AWK,0.437086156,18.71057062,1,0.437086156
AMP,1.004243663,51.86582101,4,1.004243663
ABC,0.431721314,12.85539805,1,0.431721314
AME,0.470489217,19.57625718,1,0.470489217
AMGN,0.024229283,14.59686721,2,0.024229283
APH,0.560271204,10.6893238,1,0.560271204
ADI,0.717147803,24.51183333,3,0.717147803
ANSS,0.697815091,47.06736574,4,0.697815091
ANTM,0.676056996,50.2796571,4,0.676056996
AON,0.671474932,33.1661808,3,0.671474932
AOS,0.316575085,10.46225749,1,0.316575085
APA,0.214842917,6.071805722,2,0.214842917
AAPL,1.445028299,28.89719839,3,1.445028299
AMAT,1.481024253,34.36223027,3,1.481024253
APTV,0.909851784,34.75776409,3,0.909851784
ADM,0.644178522,9.55181609,1,0.644178522
ANET,0.622304814,64.47174815,4,0.622304814
AJG,0.808189943,22.05485052,3,0.808189943
AIZ,0.303893587,20.65907226,0,0.303893587
T,-0.307982052,3.763941956,2,0.1
ATO,-0.167959758,7.403075612,2,0.1
ADSK,1.153676805,51.79138106,4,1.153676805
ADP,0.339424238,24.68765091,0,0.339424238
AVB,0.057346483,29.38293913,0,0.057346483
AVY,0.722424726,40.82546816,4,0.722424726
BKR,0.115763592,4.30570282,2,0.115763592
BLL,0.230571025,10.73841215,2,0.230571025
BAC,0.515784404,7.177336281,1,0.515784404
BAX,0.030601898,4.409869979,2,0.030601898
BDX,0.005449417,13.40271124,2,0.005449417
BBY,0.668607761,17.7977995,1,0.668607761
BIIB,-0.053451377,31.75791778,0,0.1
BK,0.282087309,6.96053992,1,0.282087309
BA,-0.383444459,63.62204602,0,0.1
BWA,0.154452921,7.142093359,2,0.154452921
BXP,-0.112487666,19.28170474,2,0.1
BSX,0.102491334,3.932297814,2,0.102491334
BMY,0.065477312,3.729094267,2,0.065477312
BR,0.474194572,21.22831405,1,0.474194572
BRO,0.814875145,6.632359428,1,0.814875145
CHRW,0.122719002,10.54078725,2,0.122719002
CDNS,1.580580898,30.81668356,3,1.580580898
CZR,1.5336115,28.60416611,3,1.5336115
CPB,-0.144647432,2.695401615,2,0.1
COF,0.822080834,38.08084941,3,0.822080834
CAH,-0.013785421,4.04089737,2,0.1
KMX,0.479972559,21.47695619,1,0.479972559
CCL,-0.501510281,10.75289803,2,0.1
CARR,0,12.20895278,2,0
CAT,0.512738039,40.94553613,0,0.512738039
CBOE,0.134456444,14.0346068,2,0.134456444
CBRE,0.99237366,19.06777215,3,0.99237366
CDW,0.541663361,29.25200027,0,0.541663361
CE,0.386334279,27.86743271,0,0.386334279
CNC,0.433669268,5.05918423,1,0.433669268
CNP,-0.113560983,3.56215543,2,0.1
CERN,0.060239991,4.531241767,2,0.060239991
CF,0.303936647,9.478712908,1,0.303936647
SCHW,1.023420323,15.24026073,3,1.023420323
CVX,-0.034529726,13.87837609,2,0.1
CB,0.241662291,22.7996388,0,0.241662291
CHD,0.10877885,8.288382111,2,0.10877885
CI,0.2715302,25.90672801,0,0.2715302
CINF,0.067754016,19.58927676,2,0.067754016
CTAS,0.573621221,58.27621885,4,0.573621221
CSCO,0.186920906,5.702549913,2,0.186920906
C,-0.019986164,12.60919513,2,0.1
CFG,0.411888646,9.383141803,1,0.411888646
CTXS,-0.083603923,14.99102772,2,0.1
CLX,0.072234013,23.24009106,0,0.072234013
CME,0.070061528,18.54298474,2,0.070061528
CMS,-0.061104706,3.237948918,2,0.1
KO,-0.006504335,4.066830004,2,0.1
CTSH,0.301933581,9.337453188,1,0.301933581
CL,0.099429414,5.61342716,2,0.099429414
CMCSA,0.206623536,7.206655342,2,0.206623536
CMA,0.368852415,16.36157565,1,0.368852415
CAG,0.219822738,3.072021167,2,0.219822738
COP,0.361378241,11.47486607,1,0.361378241
ED,-0.195142659,6.827974376,2,0.1
STZ,0.112029099,26.66647711,0,0.112029099
COO,0.467529683,48.3746266,4,0.467529683
CPRT,0.816849811,22.09883304,3,0.816849811
GLW,0.301946917,7.126052031,1,0.301946917
CTVA,0.620022748,8.414712076,1,0.620022748
COST,0.648886748,50.30090176,4,0.648886748
CTRA,0.214788751,1.716655036,2,0.214788751
CCI,0.257427098,18.15556929,1,0.257427098
CSX,0.49619024,4.39352944,1,0.49619024
CMI,0.380664748,38.34498363,0,0.380664748
CVS,0.349167309,9.180886267,1,0.349167309
DHI,0.634401616,17.55971529,1,0.634401616
DHR,1.257402481,54.73710973,4,1.257402481
DRI,0.305180608,28.99346378,0,0.305180608
DVA,0.972609882,20.13592899,3,0.972609882
DAL,-0.265476898,10.77264689,2,0.1
XRAY,0.083553078,8.773978503,2,0.083553078
DVN,0.878145481,8.13262992,1,0.878145481
FANG,0.263591049,23.34269682,0,0.263591049
DLR,0.166914676,12.54680853,2,0.166914676
DFS,0.555430174,29.18930339,0,0.555430174
DISCA,-0.078612957,10.12909728,2,0.1
DISCK,-0.043520751,8.257558287,2,0.1
DISH,0.278770021,6.429787985,1,0.278770021
DG,0.367493657,24.63433702,0,0.367493657
DLTR,-0.091782013,10.99377401,2,0.1
D,-0.073138334,4.319669036,2,0.1
DPZ,0.777807261,66.40545711,4,0.777807261
DOV,0.633983074,24.98055618,3,0.633983074
DOW,0.191732371,10.56720628,2,0.191732371
DTE,0.057873105,11.10383542,2,0.057873105
DUK,0.07130216,7.902491463,2,0.07130216
DRE,0.611288537,6.203226652,1,0.611288537
DD,0.087307514,13.0005376,2,0.087307514
DXC,0.241700111,8.708579912,2,0.241700111
EMN,0.44596925,21.86506621,0,0.44596925
ETN,0.935905117,27.78253142,3,0.935905117
EBAY,1.259966379,13.04778125,3,1.259966379
ECL,0.165539989,16.05026127,2,0.165539989
EIX,-0.156669913,6.888878868,2,0.1
EW,0.543388939,14.82299725,1,0.543388939
EA,0.480099944,15.78035295,1,0.480099944
EMR,0.383800812,15.4497667,1,0.383800812
ETR,-0.139290721,10.31563749,2,0.1
EOG,0.300958673,16.59051356,1,0.300958673
EFX,1.002614463,44.00550201,4,1.002614463
